lat_grid,lon_grid,n_acc_viales,pct_semaforo,pct_asfalto,pct_iluminacion,semaforo_modal,superficie_modal,iluminacion_modal,carriles_mediana,estado_modal
4.608,-74.161,12,83.33333333333334,91.66666666666666,16.666666666666664,SI,ASFALTO,SIN,3.0,BUENO
4.608,-74.141,44,95.45454545454545,100.0,52.27272727272727,SI,ASFALTO,CON,2.0,BUENO
4.608,-74.129,20,85.0,100.0,45.0,SI,ASFALTO,SIN,2.0,BUENO
4.608,-74.075,44,86.36363636363636,95.45454545454545,36.36363636363637,SI,ASFALTO,SIN,3.0,BUENO
4.609,-74.086,12,100.0,91.66666666666666,83.33333333333334,SI,ASFALTO,CON,3.0,BUENO
4.61,-74.078,21,80.95238095238095,80.95238095238095,38.095238095238095,SI,ASFALTO,SIN,3.0,BUENO
4.611,-74.175,5,100.0,100.0,60.0,SI,ASFALTO,CON,1.0,BUENO
4.611,-74.094,16,50.0,93.75,50.0,NO,ASFALTO,CON,2.5,BUENO
4.611,-74.075,129,96.89922480620154,98.44961240310077,52.71317829457365,SI,ASFALTO,CON,2.0,BUENO
4.613,-74.176,48,89.58333333333334,100.0,47.91666666666667,SI,ASFALTO,SIN,3.0,BUENO
4.614,-74.175,67,86.56716417910447,98.50746268656717,47.76119402985074,SI,ASFALTO,SIN,3.0,BUENO
4.614,-74.171,47,82.97872340425532,91.48936170212765,36.17021276595745,SI,ASFALTO,SIN,2.0,BUENO
4.614,-74.141,42,73.80952380952381,100.0,38.095238095238095,SI,ASFALTO,SIN,2.0,BUENO
4.614,-74.14,53,84.90566037735849,96.22641509433963,45.28301886792453,SI,ASFALTO,SIN,2.0,BUENO
4.614,-74.091,88,85.22727272727273,88.63636363636364,40.909090909090914,SI,ASFALTO,SIN,3.0,BUENO
4.615,-74.163,78,85.8974358974359,97.43589743589743,51.28205128205128,SI,ASFALTO,CON,3.0,BUENO
4.616,-74.188,15,73.33333333333333,100.0,40.0,SI,ASFALTO,SIN,2.0,BUENO
4.616,-74.137,73,65.75342465753424,98.63013698630137,34.24657534246575,SI,ASFALTO,SIN,3.0,BUENO
4.616,-74.093,39,89.74358974358975,92.3076923076923,33.33333333333333,SI,ASFALTO,SIN,3.0,BUENO
4.617,-74.186,3,33.33333333333333,100.0,33.33333333333333,NO,ASFALTO,SIN,2.0,BUENO
4.617,-74.166,18,83.33333333333334,94.44444444444444,66.66666666666666,SI,ASFALTO,CON,2.0,BUENO
4.617,-74.156,15,86.66666666666667,100.0,60.0,SI,ASFALTO,CON,3.0,BUENO
4.617,-74.14,40,72.5,95.0,52.5,SI,ASFALTO,CON,2.0,BUENO
4.617,-74.137,27,88.88888888888889,92.5925925925926,40.74074074074074,SI,ASFALTO,SIN,3.0,BUENO
4.618,-74.139,43,76.74418604651163,100.0,41.86046511627907,SI,ASFALTO,SIN,2.0,BUENO
4.619,-74.183,14,85.71428571428571,85.71428571428571,50.0,SI,ASFALTO,CON,2.0,BUENO
4.619,-74.169,36,77.77777777777779,97.22222222222221,38.88888888888889,SI,ASFALTO,SIN,2.0,BUENO
4.619,-74.161,4,75.0,100.0,50.0,SI,ASFALTO,CON,2.5,BUENO
4.619,-74.143,31,77.41935483870968,100.0,41.935483870967744,SI,ASFALTO,SIN,3.0,BUENO
4.619,-74.14,68,76.47058823529412,98.52941176470588,38.23529411764706,SI,ASFALTO,SIN,2.0,BUENO
4.62,-74.098,19,84.21052631578947,78.94736842105263,47.368421052631575,SI,ASFALTO,SIN,2.0,BUENO
4.621,-74.165,6,66.66666666666666,100.0,50.0,SI,ASFALTO,CON,2.5,BUENO
4.621,-74.125,13,46.15384615384615,100.0,38.46153846153847,NO,ASFALTO,SIN,2.0,BUENO
4.621,-74.099,49,93.87755102040816,93.87755102040816,44.89795918367347,SI,ASFALTO,SIN,2.0,BUENO
4.621,-74.086,58,74.13793103448276,87.93103448275862,37.93103448275862,SI,ASFALTO,SIN,3.0,BUENO
4.622,-74.104,23,95.65217391304348,100.0,47.82608695652174,SI,ASFALTO,SIN,2.0,BUENO
4.623,-74.167,20,75.0,95.0,60.0,SI,ASFALTO,CON,3.0,BUENO
4.623,-74.15,32,78.125,100.0,37.5,SI,ASFALTO,SIN,2.5,BUENO
4.623,-74.106,56,67.85714285714286,100.0,35.714285714285715,SI,ASFALTO,SIN,3.0,BUENO
4.624,-74.19,8,100.0,100.0,50.0,SI,ASFALTO,CON,2.0,BUENO
4.624,-74.149,17,58.82352941176471,94.11764705882352,47.05882352941176,SI,ASFALTO,SIN,3.0,BUENO
4.625,-74.165,12,75.0,100.0,50.0,SI,ASFALTO,CON,2.0,BUENO
4.625,-74.147,19,78.94736842105263,100.0,47.368421052631575,SI,ASFALTO,SIN,2.0,BUENO
4.626,-74.138,102,86.27450980392157,100.0,38.23529411764706,SI,ASFALTO,SIN,2.0,BUENO
4.627,-74.174,14,78.57142857142857,92.85714285714286,35.714285714285715,SI,ASFALTO,SIN,2.5,BUENO
4.627,-74.106,91,73.62637362637363,92.3076923076923,42.857142857142854,SI,ASFALTO,SIN,3.0,BUENO
4.628,-74.171,159,90.56603773584906,94.33962264150944,46.540880503144656,SI,ASFALTO,SIN,3.0,BUENO
4.628,-74.114,12,66.66666666666666,100.0,50.0,SI,ASFALTO,CON,3.0,BUENO
4.628,-74.113,13,92.3076923076923,92.3076923076923,53.84615384615385,SI,ASFALTO,CON,3.0,BUENO
4.628,-74.11,44,72.72727272727273,95.45454545454545,47.72727272727273,SI,ASFALTO,SIN,3.0,BUENO
4.629,-74.193,13,92.3076923076923,92.3076923076923,38.46153846153847,SI,ASFALTO,SIN,2.0,BUENO
4.63,-74.191,18,88.88888888888889,94.44444444444444,22.22222222222222,SI,ASFALTO,SIN,2.0,BUENO
4.63,-74.182,9,77.77777777777779,88.88888888888889,22.22222222222222,SI,ASFALTO,SIN,2.0,BUENO
4.63,-74.133,34,73.52941176470588,97.05882352941177,44.11764705882353,SI,ASFALTO,SIN,3.0,BUENO
4.631,-74.145,65,69.23076923076923,93.84615384615384,32.30769230769231,SI,ASFALTO,SIN,3.0,BUENO
4.631,-74.141,13,76.92307692307693,100.0,46.15384615384615,SI,ASFALTO,SIN,3.0,BUENO
4.632,-74.154,271,79.70479704797047,77.49077490774908,40.59040590405904,SI,ASFALTO,SIN,2.0,BUENO
4.633,-74.198,10,80.0,100.0,30.0,SI,ASFALTO,SIN,1.0,BUENO
4.633,-74.165,29,72.41379310344827,100.0,34.48275862068966,SI,ASFALTO,SIN,2.0,BUENO
4.634,-74.151,15,60.0,100.0,46.666666666666664,SI,ASFALTO,SIN,3.0,BUENO
4.636,-74.153,47,82.97872340425532,95.74468085106383,57.446808510638306,SI,ASFALTO,CON,2.0,BUENO
4.636,-74.067,50,84.0,100.0,52.0,SI,ASFALTO,CON,2.0,BUENO
4.637,-74.118,12,91.66666666666666,100.0,16.666666666666664,SI,ASFALTO,SIN,3.0,BUENO
4.638,-74.172,33,84.84848484848484,96.96969696969697,39.39393939393939,SI,ASFALTO,SIN,2.0,BUENO
4.638,-74.063,56,62.5,100.0,35.714285714285715,SI,ASFALTO,SIN,3.0,BUENO
4.639,-74.155,22,63.63636363636363,95.45454545454545,63.63636363636363,SI,ASFALTO,CON,3.0,BUENO
4.64,-74.074,26,84.61538461538461,96.15384615384616,57.692307692307686,SI,ASFALTO,CON,2.0,BUENO
4.641,-74.123,146,89.72602739726028,98.63013698630137,41.78082191780822,SI,ASFALTO,SIN,3.0,BUENO
4.643,-74.066,16,62.5,100.0,31.25,SI,ASFALTO,SIN,2.0,BUENO
4.643,-74.062,49,79.59183673469387,100.0,59.183673469387756,SI,ASFALTO,CON,3.0,BUENO
4.643,-74.059,13,84.61538461538461,92.3076923076923,23.076923076923077,SI,ASFALTO,SIN,2.0,BUENO
4.647,-74.065,169,93.49112426035504,98.22485207100591,56.80473372781065,SI,ASFALTO,CON,2.0,BUENO
4.649,-74.147,113,83.1858407079646,97.34513274336283,37.16814159292036,SI,ASFALTO,SIN,3.0,BUENO
4.662,-74.134,26,96.15384615384616,92.3076923076923,50.0,SI,ASFALTO,CON,3.0,BUENO
4.662,-74.133,105,83.80952380952381,94.28571428571428,43.80952380952381,SI,ASFALTO,SIN,2.0,BUENO
4.666,-74.146,23,65.21739130434783,100.0,43.47826086956522,SI,ASFALTO,SIN,3.0,BUENO
4.666,-74.13,143,90.20979020979021,99.3006993006993,46.85314685314685,SI,ASFALTO,SIN,3.0,BUENO
4.666,-74.093,124,83.06451612903226,96.7741935483871,35.483870967741936,SI,ASFALTO,SIN,3.0,BUENO
4.669,-74.128,98,78.57142857142857,97.95918367346938,39.795918367346935,SI,ASFALTO,SIN,3.0,BUENO
4.671,-74.152,57,82.45614035087719,98.24561403508771,52.63157894736842,SI,ASFALTO,CON,3.0,BUENO
4.671,-74.107,157,92.35668789808918,99.36305732484077,49.681528662420384,SI,ASFALTO,SIN,2.0,BUENO
4.672,-74.125,120,89.16666666666667,99.16666666666667,46.666666666666664,SI,ASFALTO,SIN,3.0,BUENO
4.675,-74.104,86,90.69767441860465,98.83720930232558,46.51162790697674,SI,ASFALTO,SIN,2.0,BUENO
4.676,-74.122,22,77.27272727272727,95.45454545454545,50.0,SI,ASFALTO,CON,3.0,BUENO
4.679,-74.095,11,63.63636363636363,100.0,54.54545454545454,SI,ASFALTO,CON,2.0,BUENO
4.68,-74.133,26,88.46153846153845,88.46153846153845,57.692307692307686,SI,ASFALTO,CON,2.0,BUENO
4.682,-74.134,42,85.71428571428571,100.0,57.14285714285714,SI,ASFALTO,CON,2.0,BUENO
4.683,-74.123,38,84.21052631578947,92.10526315789474,47.368421052631575,SI,ASFALTO,SIN,2.0,BUENO
4.683,-74.098,15,93.33333333333333,93.33333333333333,46.666666666666664,SI,ASFALTO,SIN,2.0,BUENO
4.684,-74.097,39,76.92307692307693,97.43589743589743,53.84615384615385,SI,ASFALTO,CON,2.0,BUENO
4.684,-74.079,106,71.69811320754717,96.22641509433963,34.90566037735849,SI,ASFALTO,SIN,2.0,BUENO
4.684,-74.063,20,95.0,100.0,50.0,SI,ASFALTO,CON,2.0,BUENO
4.685,-74.158,50,86.0,96.0,64.0,SI,ASFALTO,CON,3.0,BUENO
4.688,-74.083,40,87.5,100.0,60.0,SI,ASFALTO,CON,2.0,BUENO
4.69,-74.101,10,100.0,100.0,70.0,SI,ASFALTO,CON,2.0,BUENO
4.692,-74.086,46,84.78260869565217,100.0,39.130434782608695,SI,ASFALTO,SIN,3.0,BUENO
4.694,-74.169,68,98.52941176470588,98.52941176470588,61.76470588235294,SI,ASFALTO,CON,3.0,BUENO
4.696,-74.171,44,70.45454545454545,100.0,36.36363636363637,SI,ASFALTO,SIN,3.0,BUENO
4.698,-74.124,7,28.57142857142857,71.42857142857143,28.57142857142857,NO,ASFALTO,SIN,2.0,BUENO
4.698,-74.093,74,90.54054054054053,98.64864864864865,56.75675675675676,SI,ASFALTO,CON,3.0,BUENO
4.698,-74.055,4,75.0,100.0,50.0,SI,ASFALTO,CON,2.5,BUENO
4.7,-74.132,10,70.0,100.0,30.0,SI,ASFALTO,SIN,2.0,BUENO
4.7,-74.131,76,89.47368421052632,96.05263157894737,38.15789473684211,SI,ASFALTO,SIN,3.0,BUENO
4.702,-74.108,34,85.29411764705883,100.0,61.76470588235294,SI,ASFALTO,CON,2.0,BUENO
4.704,-74.134,12,91.66666666666666,91.66666666666666,75.0,SI,ASFALTO,CON,2.0,BUENO
4.717,-74.093,120,84.16666666666667,96.66666666666667,47.5,SI,ASFALTO,SIN,3.0,BUENO
4.73,-74.101,68,94.11764705882352,100.0,50.0,SI,ASFALTO,CON,3.0,BUENO
4.742,-74.098,59,84.7457627118644,94.91525423728814,37.28813559322034,SI,ASFALTO,SIN,3.0,BUENO
4.744,-74.11,19,84.21052631578947,89.47368421052632,63.1578947368421,SI,ASFALTO,CON,2.0,BUENO
4.756,-74.093,6,100.0,83.33333333333334,16.666666666666664,SI,ASFALTO,SIN,2.0,BUENO
4.765,-74.045,6,66.66666666666666,100.0,33.33333333333333,SI,ASFALTO,SIN,2.0,BUENO
4.771,-74.083,59,64.40677966101694,96.61016949152543,47.45762711864407,SI,ASFALTO,SIN,2.0,BUENO
