LAT_ZONA,LON_ZONA,cantidad_siniestros,criticidad_total,criticidad_promedio,localidad_predominante,barrio_predominante,via_predominante,clase_predominante,gravedad_predominante,criticidad_2016,criticidad_2017,criticidad_2018,criticidad_2019,anios_activos,tipo_hotspot,prioridad_intervencion,siniestros_solo_danos,siniestros_con_heridos,siniestros_con_muertos,criticidad_fatalidad_alta,rank_base,rank_fatalidad_alta,variacion_ranking_fatalidad,score_volumen,score_criticidad_total,score_severidad_promedio,score_persistencia,score_fatalidad,IPI,rank_IPI,prioridad_IPI
4.628,-74.171,260,528,2.0307692307692307,KENNEDY,LAS MARGARITAS,AVENIDA CIUDAD DE CALI,CHOQUE,SOLO DANOS,130.0,128.0,126.0,144.0,4,Hotspot severo,Prioridad 1 - Revisión urgente por severidad,130,126,4,860,9.0,7.0,2.0,0.9980443666082895,0.9995329830706363,0.7037945125510799,1.0,0.9885872737886748,93.79918272037362,33,Prioridad 1 - Intervención prioritaria
4.617,-74.171,74,174,2.3513513513513513,KENNEDY,CASABLANCA,AVENIDA AGOBERTO MEJIA CIFUENTES,CHOQUE,CON HERIDOS,44.0,40.0,40.0,50.0,4,Hotspot persistente con severidad media-alta,Prioridad 2 - Auditoría de seguridad vial,26,46,2,306,285.0,227.0,58.0,0.9675423234092236,0.9832749562171629,0.7924109748978401,1.0,0.9427904261529481,93.7203736135435,34,Prioridad 1 - Intervención prioritaria
4.599,-74.079,26,78,3.0,SANTA FE,SANTA INES,AVENIDA FERNANDO MAZUERA,ATROPELLO,CON HERIDOS,32.0,8.0,16.0,22.0,4,Hotspot persistente con severidad media-alta,Prioridad 2 - Auditoría de seguridad vial,4,18,4,194,1232.0,588.0,644.0,0.8567717454757735,0.9265032107413894,0.9134851138353766,1.0,0.9885872737886748,93.70694687682428,35,Prioridad 1 - Intervención prioritaria
4.581,-74.102,136,284,2.088235294117647,ANTONIO NARIÑO,CIUDAD JARDIN SUR,AVENIDA PRIMERO DE MAYO,CHOQUE,CON HERIDOS,104.0,68.0,64.0,48.0,4,Hotspot persistente con severidad media-alta,Prioridad 2 - Auditoría de seguridad vial,66,66,4,496,92.0,74.0,18.0,0.989492119089317,0.9946584938704028,0.7110916520723877,1.0,0.9885872737886748,93.67659077641565,36,Prioridad 1 - Intervención prioritaria
4.554,-74.092,48,132,2.75,SAN CRISTOBAL,ATENAS,AVENIDA CIUDAD DE VILLAVICENCIO,ATROPELLO,CON HERIDOS,48.0,36.0,24.0,24.0,4,Hotspot persistente con severidad media-alta,Prioridad 2 - Auditoría de seguridad vial,8,38,2,248,503.0,343.0,160.0,0.9338879159369528,0.9702276707530648,0.8360478692352598,1.0,0.9427904261529481,93.65907764156451,37,Prioridad 1 - Intervención prioritaria
4.594,-74.113,92,200,2.1739130434782608,ANTONIO NARIÑO,SANTANDER SUR,AVENIDA JORGE GAITAN CORTES,CHOQUE,CON HERIDOS,42.0,44.0,58.0,56.0,4,Hotspot persistente con severidad media-alta,Prioridad 2 - Auditoría de seguridad vial,42,46,4,372,207.0,145.0,62.0,0.9781377699941622,0.9879159369527145,0.727086981903094,1.0,0.9885872737886748,93.6345592527729,38,Prioridad 1 - Intervención prioritaria
4.638,-74.067,54,138,2.5555555555555554,CHAPINERO,MARLY,AVENIDA CARACAS,ATROPELLO,CON HERIDOS,38.0,38.0,32.0,30.0,4,Hotspot persistente con severidad media-alta,Prioridad 2 - Auditoría de seguridad vial,14,38,2,254,456.0,331.0,125.0,0.9440163455925278,0.9730005837711617,0.8185639229422067,1.0,0.9427904261529481,93.56742556917688,39,Prioridad 1 - Intervención prioritaria
4.72,-74.095,108,228,2.111111111111111,SUBA,RINCON ALTAMAR,SIN_NMG,CHOQUE,CON HERIDOS,38.0,64.0,70.0,56.0,4,Hotspot persistente con severidad media-alta,Prioridad 2 - Auditoría de seguridad vial,52,52,4,412,159.0,113.0,46.0,0.9832749562171629,0.9906596614127262,0.7155283129013427,1.0,0.9885872737886748,93.56100408639814,40,Prioridad 1 - Intervención prioritaria
4.578,-74.156,90,194,2.1555555555555554,CIUDAD BOLIVAR,VERONA,AVENIDA CIUDAD DE VILLAVICENCIO,CHOQUE,CON HERIDOS,46.0,80.0,42.0,26.0,4,Hotspot persistente con severidad media-alta,Prioridad 2 - Auditoría de seguridad vial,42,44,4,362,220.0,154.0,66.0,0.977086981903094,0.9870986573263281,0.7250729713952131,1.0,0.9885872737886748,93.55691768826621,41,Prioridad 1 - Intervención prioritaria
4.669,-74.143,92,192,2.0869565217391304,FONTIBON,VILLEMAR,SIN_NMG,CHOQUE,SOLO DANOS,38.0,42.0,74.0,38.0,4,Hotspot persistente con severidad media-alta,Prioridad 2 - Auditoría de seguridad vial,50,34,8,420,225.0,107.0,118.0,0.9781377699941622,0.9866316403969644,0.7110332749562172,1.0,0.998861646234676,93.49328663164039,42,Prioridad 1 - Intervención prioritaria
4.6,-74.088,108,220,2.037037037037037,LOS MARTIRES,LA ESTANZUELA,AVENIDA DE LOS COMUNEROS,CHOQUE,SOLO DANOS,28.0,54.0,58.0,80.0,4,Hotspot persistente con severidad media-alta,Prioridad 2 - Auditoría de seguridad vial,58,44,6,428,170.0,98.0,72.0,0.9832749562171629,0.9900175131348511,0.704173963806188,1.0,0.9967308814944542,93.48394629305312,43,Prioridad 1 - Intervención prioritaria
4.6,-74.078,62,150,2.4193548387096775,SANTA FE,SANTA INES,AVENIDA FERNANDO MAZUERA,CHOQUE,CON HERIDOS,46.0,22.0,52.0,30.0,4,Hotspot persistente con severidad media-alta,Prioridad 2 - Auditoría de seguridad vial,20,40,2,270,373.0,303.0,70.0,0.9554874489200234,0.9779334500875657,0.7964389959136019,1.0,0.9427904261529481,93.45300642148277,44,Prioridad 1 - Intervención prioritaria
4.719,-74.12,102,206,2.019607843137255,ENGATIVA,VILLAS DE GRANADA I,AVENIDA MEDELLIN,CHOQUE,SOLO DANOS,62.0,58.0,48.0,38.0,4,Hotspot persistente con severidad media-alta,Prioridad 2 - Auditoría de seguridad vial,56,40,6,406,197.0,116.0,81.0,0.9817279626386457,0.9884413309982487,0.7035901926444834,1.0,0.9967308814944542,93.40980735551663,45,Prioridad 1 - Intervención prioritaria
4.594,-74.087,58,142,2.4482758620689653,SANTA FE,SAN BERNARDINO,AVENIDA CARACAS,CHOQUE,CON HERIDOS,42.0,22.0,54.0,24.0,4,Hotspot persistente con severidad media-alta,Prioridad 2 - Auditoría de seguridad vial,18,38,2,258,429.0,326.0,103.0,0.9500291885580853,0.9746059544658494,0.801021599532983,1.0,0.9427904261529481,93.36894337419733,46,Prioridad 1 - Intervención prioritaria
4.626,-74.191,34,94,2.764705882352941,BOSA,ESCOCIA,SIN_NMG,ATROPELLO,CON HERIDOS,44.0,14.0,16.0,20.0,4,Hotspot persistente con severidad media-alta,Prioridad 2 - Auditoría de seguridad vial,8,22,4,218,914.0,472.0,442.0,0.8968768242848804,0.9457092819614711,0.8367775831873906,1.0,0.9885872737886748,93.35901926444834,47,Prioridad 1 - Intervención prioritaria
4.638,-74.155,78,166,2.128205128205128,KENNEDY,CIUDAD TECHO II,AVENIDA MANUEL CEPEDA VARGAS,CHOQUE,SOLO DANOS,74.0,40.0,16.0,36.0,4,Hotspot persistente con severidad media-alta,Prioridad 2 - Auditoría de seguridad vial,40,32,6,350,313.0,161.0,152.0,0.97025685931115,0.9815820198482195,0.7186223000583771,1.0,0.9967308814944542,93.34384121424402,48,Prioridad 1 - Intervención prioritaria
4.624,-74.164,46,122,2.652173913043478,KENNEDY,CHUCUA DE LA VACA II,SIN_NMG,CHOQUE,CON HERIDOS,14.0,42.0,34.0,32.0,4,Hotspot persistente con severidad media-alta,Prioridad 2 - Auditoría de seguridad vial,10,34,2,230,575.0,418.0,157.0,0.9296555750145943,0.9660537069468769,0.8281961471103327,1.0,0.9427904261529481,93.33391710449504,49,Prioridad 1 - Intervención prioritaria
4.6,-74.089,110,222,2.018181818181818,LOS MARTIRES,LA ESTANZUELA,AVENIDA DE LOS COMUNEROS,CHOQUE,SOLO DANOS,40.0,76.0,54.0,52.0,4,Hotspot persistente con severidad media-alta,Prioridad 2 - Auditoría de seguridad vial,58,48,4,398,166.0,122.0,44.0,0.9840046701692936,0.9902802101576182,0.7034442498540572,1.0,0.9885872737886748,93.32632807939288,50,Prioridad 1 - Intervención prioritaria
