LAT_ZONA,LON_ZONA,cantidad_siniestros,criticidad_total,criticidad_promedio,localidad_predominante,barrio_predominante,via_predominante,clase_predominante,gravedad_predominante,criticidad_2016,criticidad_2017,criticidad_2018,criticidad_2019,anios_activos,tipo_hotspot,prioridad_intervencion,siniestros_solo_danos,siniestros_con_heridos,siniestros_con_muertos,criticidad_fatalidad_alta,rank_base,rank_fatalidad_alta,variacion_ranking_fatalidad,score_volumen,score_criticidad_total,score_severidad_promedio,score_persistencia,score_fatalidad,IPI,rank_IPI,prioridad_IPI,rank_criticidad_total,rank_volumen,rank_muertes,familia_analitica
4.709,-74.033,22,34,1.5454545454545454,USAQUEN,BELLA SUIZA,AVENIDA LAUREANO GOMEZ,CHOQUE,SOLO DANOS,4.0,6.0,20.0,4.0,4,Hotspot exploratorio,Prioridad 3 - Seguimiento,18,2,2,78,3397.0,2359.0,1038.0,0.8262113251605371,0.7955341506129597,0.4262405137186223,1.0,0.9427904261529481,79.81552831290134,1284,Seguimiento,3419,2877,1107,Seguimiento
4.683,-74.121,22,34,1.5454545454545454,ENGATIVA,LOS ALAMOS,AVENIDA JORGE ELIECER GAITAN,CHOQUE,SOLO DANOS,12.0,18.0,2.0,2.0,4,Hotspot exploratorio,Prioridad 3 - Seguimiento,18,2,2,78,3397.0,2359.0,1038.0,0.8262113251605371,0.7955341506129597,0.4262405137186223,1.0,0.9427904261529481,79.81552831290134,1285,Seguimiento,3420,2878,1108,Seguimiento
4.624,-74.171,22,34,1.5454545454545454,KENNEDY,GRAN BRITALIA I,SIN_NMG,CHOQUE,SOLO DANOS,6.0,20.0,6.0,2.0,4,Hotspot exploratorio,Prioridad 3 - Seguimiento,18,2,2,78,3397.0,2359.0,1038.0,0.8262113251605371,0.7955341506129597,0.4262405137186223,1.0,0.9427904261529481,79.81552831290134,1283,Seguimiento,3418,2876,1106,Seguimiento
4.596,-74.163,22,34,1.5454545454545454,BOSA,OLARTE,AVENIDA DEL SUR,CHOQUE,SOLO DANOS,6.0,0.0,28.0,0.0,2,Hotspot exploratorio,Prioridad 3 - Seguimiento,18,2,2,78,3397.0,2359.0,1038.0,0.8262113251605371,0.7955341506129597,0.4262405137186223,0.5,0.9427904261529481,69.81552831290134,3966,Seguimiento,3549,3022,1379,Seguimiento
4.634,-74.155,24,32,1.3333333333333333,KENNEDY,CIUDAD KENNEDY NORTE,AVENIDA AGOBERTO MEJIA CIFUENTES,CHOQUE,SOLO DANOS,4.0,4.0,4.0,20.0,4,Hotspot exploratorio,Prioridad 3 - Seguimiento,22,0,2,72,3611.0,2578.0,1033.0,0.8427904261529481,0.7823117338003502,0.3352305896088733,1.0,0.9427904261529481,78.0624635143024,1531,Seguimiento,3638,2619,1162,Seguimiento
4.702,-74.134,24,56,2.3333333333333335,ENGATIVA,SAN ANTONIO URBANO,AVENIDA JOSE CELESTINO MUTIS,CHOQUE,SOLO DANOS,8.0,18.0,24.0,6.0,4,Hotspot persistente con severidad media-alta,Prioridad 2 - Auditoría de seguridad vial,12,8,4,152,1930.0,900.0,1030.0,0.8427904261529481,0.8852597781669586,0.7728838295388207,1.0,0.9885872737886748,89.79042615294806,288,Prioridad 3 - Monitoreo y gestión preventiva,1931,2570,185,Hotspot preventivo prioritario
4.578,-74.098,24,56,2.3333333333333335,ANTONIO NARIÑO,CIUDAD JARDIN SUR,AVENIDA PRIMERO DE MAYO,CHOQUE,SOLO DANOS,16.0,12.0,20.0,8.0,4,Hotspot persistente con severidad media-alta,Prioridad 2 - Auditoría de seguridad vial,12,8,4,152,1930.0,900.0,1030.0,0.8427904261529481,0.8852597781669586,0.7728838295388207,1.0,0.9885872737886748,89.79042615294806,287,Prioridad 3 - Monitoreo y gestión preventiva,1930,2569,184,Hotspot preventivo prioritario
4.621,-74.125,26,66,2.5384615384615383,KENNEDY,HIPOTECHO SUR,AVENIDA DEL CONGRESO EUCARISTICO,CHOQUE,SOLO DANOS,14.0,8.0,26.0,18.0,4,Hotspot persistente con severidad media-alta,Prioridad 2 - Auditoría de seguridad vial,12,8,6,202,1567.0,542.0,1025.0,0.8567717454757735,0.9065382370110916,0.8174255691768827,1.0,0.9967308814944542,91.54932866316405,143,Prioridad 2 - Auditoría de seguridad vial,1567,2352,48,Hotspot de severidad/fatalidad
4.585,-74.088,22,58,2.6363636363636362,SAN CRISTOBAL,POLICARPA,AVENIDA FERNANDO MAZUERA,CHOQUE,CON HERIDOS,28.0,4.0,14.0,12.0,4,Hotspot persistente con severidad media-alta,Prioridad 2 - Auditoría de seguridad vial,8,10,4,158,1868.0,843.0,1025.0,0.8262113251605371,0.8892294220665499,0.8278750729713952,1.0,0.9885872737886748,90.63806187974315,217,Prioridad 3 - Monitoreo y gestión preventiva,1869,2829,155,Hotspot preventivo prioritario
4.488,-74.12,22,58,2.6363636363636362,USME,VILLA ANITA,AVENIDA CARACAS,CHOQUE,CON HERIDOS,10.0,16.0,12.0,20.0,4,Hotspot persistente con severidad media-alta,Prioridad 2 - Auditoría de seguridad vial,8,10,4,158,1868.0,843.0,1025.0,0.8262113251605371,0.8892294220665499,0.8278750729713952,1.0,0.9885872737886748,90.63806187974315,218,Prioridad 3 - Monitoreo y gestión preventiva,1870,2830,156,Hotspot preventivo prioritario
