lat_grid,lon_grid,rank_IPI_base,IPI_base,cantidad_siniestros_base,siniestros_con_muertos_base,criticidad_total_base,familia_analitica_base,localidad_modal_base,rank_IPI_rec,IPI_rec,cantidad_siniestros_rec,siniestros_con_muertos_rec,criticidad_total_rec,familia_analitica_rec,localidad_modal_rec,en_top50_base,en_top200_base,en_top500_base,en_top200_rec,en_top500_rec,categoria_persistencia,sensible_fatalidad,n_siniestros_zona,condicion_predominante,pct_conductor,pct_motociclista,pct_pasajero,pct_peaton,pct_ciclista,cobertura_actor_pct,hhi_actor,vehiculo_predominante,pct_automovil,pct_motocicleta,pct_camioneta,pct_bus,pct_bicicleta,cobertura_vehiculo_pct,hhi_vehiculo,causa_top1,causa_top1_pct,causa_top2,causa_top2_pct,causa_top3,causa_top3_pct,cobertura_causa_pct,hhi_causa,rank_IPI_rec_top200,IPI_rec_top200,familia_top200,tipo_intervencion
4.616,-74.137,263.0,90.07997664915352,150.0,2.0,282.0,Hotspot de carga acumulada,KENNEDY,60.0,92.5326078855184,19.0,1.0,47.0,Hotspot robusto integral,KENNEDY,False,False,True,True,True,Emergente,True,19.0,CONDUCTOR,51.4,29.7,10.8,8.1,0.0,100.0,3703.4,MOTOCICLETA,20.7,48.3,10.3,10.3,0.0,100.0,3032.1,NO MANTENER DISTANCIA DE SEGURIDAD,42.9,HUECOS,23.8,ADELANTAR CERRANDO,9.5,89.5,2653.1,60.0,92.5326078855184,Hotspot robusto integral,VELOCIDAD/DISTANCIA
4.671,-74.107,580.0,87.28312901342674,284.0,2.0,436.0,Hotspot de carga acumulada,ENGATIVA,62.0,92.52366400834762,74.0,2.0,150.0,Hotspot robusto integral,ENGATIVA,False,False,False,True,True,Emergente,True,74.0,CONDUCTOR,74.3,7.2,7.2,7.2,4.2,100.0,5685.8,AUTOMOVIL,38.7,10.9,18.2,8.8,8.0,97.3,2143.4,NO MANTENER DISTANCIA DE SEGURIDAD,24.6,OTRA,23.8,SEMÁFORO EN ROJO,16.9,98.6,1600.0,62.0,92.52366400834762,Hotspot robusto integral,VELOCIDAD/DISTANCIA
4.636,-74.153,1077.0,81.79392877991828,62.0,0.0,130.0,Seguimiento,KENNEDY,64.0,92.49832302303048,36.0,1.0,82.0,Hotspot robusto integral,KENNEDY,False,False,False,True,True,Emergente,True,36.0,CONDUCTOR,58.4,14.6,11.2,7.9,7.9,100.0,3877.0,AUTOMOVIL,25.7,21.4,11.4,14.3,10.0,100.0,1636.7,SEMÁFORO EN ROJO,32.8,NO MANTENER DISTANCIA DE SEGURIDAD,25.0,OTRA,21.9,100.0,2241.2,64.0,92.49832302303048,Hotspot robusto integral,CONTROL_SEMAFÓRICO
4.596,-74.11,374.0,88.95096322241682,60.0,2.0,116.0,Hotspot preventivo prioritario,ANTONIO NARIÑO,66.0,92.47372736081093,23.0,3.0,51.0,Hotspot robusto integral,ANTONIO NARIÑO,False,False,True,True,True,Emergente,True,23.0,CONDUCTOR,83.0,12.8,0.0,0.0,4.3,100.0,7066.5,AUTOMOVIL,36.2,19.1,10.6,6.4,8.5,100.0,2050.7,NO MANTENER DISTANCIA DE SEGURIDAD,24.3,ADELANTAR CERRANDO,21.6,OTRA,16.2,100.0,1628.9,66.0,92.47372736081093,Hotspot robusto integral,VELOCIDAD/DISTANCIA
4.698,-74.055,9315.0,48.594862813777,8.0,0.0,12.0,Seguimiento,USAQUEN,66.0,92.47372736081093,16.0,4.0,38.0,Hotspot robusto integral,USAQUEN,False,False,False,True,True,Emergente,True,16.0,CONDUCTOR,70.3,16.2,13.5,0.0,0.0,100.0,5383.5,AUTOMOVIL,34.4,21.9,15.6,3.1,0.0,100.0,2168.0,NO MANTENER DISTANCIA DE SEGURIDAD,52.9,OTRA,23.5,ADELANTAR CERRANDO,11.8,100.0,3564.0,66.0,92.47372736081093,Hotspot robusto integral,VELOCIDAD/DISTANCIA
4.634,-74.151,1354.0,79.36193812025685,32.0,0.0,68.0,Seguimiento,KENNEDY,68.0,92.46552880673772,23.0,2.0,53.0,Hotspot robusto integral,KENNEDY,False,False,False,True,True,Emergente,True,23.0,CONDUCTOR,69.4,6.1,6.1,8.2,10.2,100.0,5060.4,CAMIONETA,17.9,12.8,33.3,12.8,17.9,100.0,2110.5,NO MANTENER DISTANCIA DE SEGURIDAD,29.0,OTRA,25.8,NO RESPETAR PRELACIÓN,12.9,91.3,1841.8,68.0,92.46552880673772,Hotspot robusto integral,VELOCIDAD/DISTANCIA
4.581,-74.103,1805.0,76.94512551079977,18.0,0.0,42.0,Seguimiento,RAFAEL URIBE URIBE,69.0,92.4558396064694,20.0,1.0,48.0,Hotspot robusto integral,RAFAEL URIBE URIBE,False,False,False,True,True,Emergente,True,20.0,CONDUCTOR,58.8,5.9,21.6,9.8,3.9,100.0,4071.5,BUS,26.5,11.8,2.9,32.4,11.8,100.0,2145.3,NO MANTENER DISTANCIA DE SEGURIDAD,18.2,FRENAR BRUSCAMENTE,18.2,OTRA,12.1,100.0,1202.9,69.0,92.4558396064694,Hotspot robusto integral,VELOCIDAD/DISTANCIA
4.545,-74.136,1088.0,81.62405137186222,58.0,0.0,122.0,Seguimiento,CIUDAD BOLIVAR,72.0,92.43646120593276,30.0,3.0,64.0,Hotspot robusto integral,CIUDAD BOLIVAR,False,False,False,True,True,Emergente,True,30.0,CONDUCTOR,77.9,10.3,8.8,1.5,1.5,100.0,6263.0,AUTOMOVIL,24.6,18.0,11.5,11.5,3.3,100.0,1470.0,NO MANTENER DISTANCIA DE SEGURIDAD,34.0,OTRA,24.0,TRANSITAR ENTRE VEHICULOS,12.0,100.0,2032.0,72.0,92.43646120593276,Hotspot robusto integral,VELOCIDAD/DISTANCIA
4.57,-74.148,81.0,92.52948044366607,46.0,2.0,110.0,Hotspot preventivo prioritario,CIUDAD BOLIVAR,74.0,92.3500037266155,14.0,1.0,40.0,Hotspot robusto integral,CIUDAD BOLIVAR,False,True,True,True,True,Persistente,True,14.0,PASAJERO,29.2,12.3,55.4,1.5,1.5,100.0,4078.1,MOTOCICLETA,33.3,37.0,7.4,11.1,3.7,100.0,2729.8,NO MANTENER DISTANCIA DE SEGURIDAD,45.0,NO RESPETAR PRELACIÓN,15.0,ADELANTAR CERRANDO,15.0,100.0,2700.0,74.0,92.3500037266155,Hotspot robusto integral,VELOCIDAD/DISTANCIA
4.68,-74.133,4811.0,66.44775248102744,42.0,0.0,54.0,Seguimiento,FONTIBON,78.0,92.24118655437132,15.0,2.0,37.0,Hotspot robusto integral,FONTIBON,False,False,False,True,True,Emergente,True,15.0,CONDUCTOR,62.5,15.6,3.1,9.4,9.4,100.0,4335.9,AUTOMOVIL,50.0,17.9,7.1,3.6,14.3,100.0,3137.8,NO MANTENER DISTANCIA DE SEGURIDAD,23.8,OTRA,14.3,SEMÁFORO EN ROJO,9.5,93.3,1156.5,78.0,92.24118655437132,Hotspot robusto integral,VELOCIDAD/DISTANCIA
