lat_grid,lon_grid,cantidad_siniestros,criticidad_total,severidad_promedio,siniestros_con_muertos,localidad_modal,anios_activos,score_volumen,score_criticidad_total,score_severidad_promedio,score_fatalidad,score_persistencia,IPI,rank_IPI,familia_analitica
4.694,-74.169,54,110,2.037037037037037,5,FONTIBON,2,0.9948200044719386,0.9972795706938958,0.6420585823954684,0.9998136692256093,1.0,92.67943653573825,56,Hotspot robusto integral
4.621,-74.125,27,61,2.259259259259259,2,KENNEDY,2,0.9782738317060445,0.9863233211597228,0.6819333681150779,0.9871431765670418,1.0,92.67347395095774,57,Hotspot robusto integral
4.597,-74.175,53,107,2.018867924528302,4,BOSA,2,0.9945591413877916,0.99679511068048,0.6415741223820526,0.9992546769024372,1.0,92.64366102705522,58,Hotspot robusto integral
4.515,-74.116,17,41,2.411764705882353,2,USME,2,0.9444734292315718,0.9676529775657747,0.7279943355444585,0.9871431765670418,1.0,92.54527837817695,59,Hotspot robusto integral
4.616,-74.137,19,47,2.473684210526316,1,KENNEDY,2,0.9542744279645227,0.9761869270328688,0.7357829619139897,0.9603860773645375,1.0,92.53260788551839,60,Hotspot robusto integral
4.572,-74.098,60,124,2.066666666666667,2,RAFAEL URIBE URIBE,2,0.9961988522024298,0.9985466199597526,0.644331817843035,0.9871431765670418,1.0,92.52440933144518,61,Hotspot robusto integral
4.671,-74.107,74,150,2.027027027027027,2,ENGATIVA,2,0.9980621599463367,0.9992546769024372,0.6417231870015652,0.9871431765670418,1.0,92.52366400834762,62,Hotspot robusto integral
4.577,-74.141,32,68,2.125,3,TUNJUELITO,2,0.9847581426548409,0.9895654766341209,0.6528285011552508,0.9980621599463367,1.0,92.50428560781098,63,Hotspot robusto integral
4.636,-74.153,36,82,2.2777777777777777,1,KENNEDY,2,0.9874413058060669,0.9934038905865693,0.6836848773943505,0.9603860773645375,1.0,92.49832302303048,64,Hotspot robusto integral
4.617,-74.14,15,37,2.466666666666667,4,KENNEDY,2,0.9300514272937318,0.9593426250279496,0.7355220988298428,0.9992546769024372,1.0,92.48341656107921,65,Hotspot robusto integral
4.596,-74.11,23,51,2.217391304347826,3,ANTONIO NARIÑO,2,0.969329954535291,0.9795781471267795,0.6767161064321383,0.9980621599463367,1.0,92.47372736081093,66,Hotspot robusto integral
4.698,-74.055,16,38,2.375,4,USAQUEN,2,0.9379518521278974,0.9621003204889319,0.724379518521279,0.9992546769024372,1.0,92.47372736081093,66,Hotspot robusto integral
4.634,-74.151,23,53,2.3043478260869565,2,KENNEDY,2,0.969329954535291,0.9814041887158083,0.6853991205187449,0.9871431765670418,1.0,92.46552880673772,68,Hotspot robusto integral
4.581,-74.103,20,48,2.4,1,RAFAEL URIBE URIBE,2,0.9585600357755086,0.977044048595066,0.726801818588358,0.9603860773645375,1.0,92.4558396064694,69,Hotspot robusto integral
4.744,-74.11,6,22,3.6666666666666665,2,SUBA,2,0.7527017962286652,0.8930461354997391,0.9891555489304613,0.9871431765670418,1.0,92.44093314451816,70,Hotspot robusto integral
4.613,-74.197,6,22,3.6666666666666665,2,BOSA,2,0.7527017962286652,0.8930461354997391,0.9891555489304613,0.9871431765670418,1.0,92.44093314451816,70,Hotspot robusto integral
4.545,-74.136,30,64,2.1333333333333333,3,CIUDAD BOLIVAR,2,0.9825221733621525,0.9878884996646046,0.6533502273235448,0.9980621599463367,1.0,92.43646120593277,72,Hotspot robusto integral
4.604,-74.08,42,88,2.0952380952380953,2,SANTA FE,2,0.9910933889841246,0.9945591413877916,0.6487292241186554,0.9871431765670418,1.0,92.43049862115227,73,Hotspot robusto integral
4.57,-74.148,14,40,2.857142857142857,1,CIUDAD BOLIVAR,2,0.921033017813222,0.9660877990608929,0.769993292092122,0.9603860773645375,1.0,92.3500037266155,74,Hotspot robusto integral
4.696,-74.171,32,66,2.0625,6,FONTIBON,2,0.9847581426548409,0.98878288738168,0.6438473578296191,0.9999254676902437,1.0,92.34627711112768,75,Hotspot robusto integral
4.617,-74.156,13,35,2.6923076923076925,2,KENNEDY,2,0.9105612282924648,0.9535291048669599,0.7641797719311322,0.9871431765670418,1.0,92.30826563315198,76,Hotspot robusto integral
4.698,-74.093,19,45,2.3684210526315788,1,ENGATIVA,2,0.9542744279645227,0.9741745546694492,0.7239323246627413,0.9603860773645375,1.0,92.255347693225,77,Hotspot robusto integral
4.68,-74.133,15,37,2.466666666666667,2,FONTIBON,2,0.9300514272937318,0.9593426250279496,0.7355220988298428,0.9871431765670418,1.0,92.24118655437131,78,Hotspot robusto integral
4.669,-74.128,28,58,2.0714285714285716,3,FONTIBON,2,0.9802116717597078,0.9843854811060595,0.6448162778564508,0.9980621599463367,1.0,92.1495118133711,79,Hotspot robusto integral
